RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1744133106131,303,337,253,336
1744133106183,303,337,253,336
1744133106225,303,338,253,337
1744133106283,303,338,253,337
1744133106343,303,337,253,336
1744133106386,303,337,252,336
1744133106440,303,337,252,336
1744133106483,302,337,252,336
1744133106531,303,337,252,336
1744133106590,302,337,253,336
1744133106655,303,337,252,336
1744133106711,302,337,252,336
1744133106758,302,337,252,336
1744133106814,302,337,252,336
1744133106858,303,337,252,337
1744133106899,303,337,252,337
1744133107027,302,337,252,336
1744133107094,302,337,252,336
1744133107138,302,337,252,336
1744133107181,302,337,252,336
1744133107235,302,337,252,336
1744133107288,302,337,252,336
1744133107334,302,337,252,337
1744133107367,302,337,252,336
1744133107415,302,337,252,336
1744133107479,302,337,253,337
1744133107515,302,337,252,336
1744133107555,302,337,252,336
1744133107602,303,337,252,336
1744133107650,303,337,252,336
1744133107699,303,337,252,336
1744133107747,303,337,252,336
1744133107800,303,337,252,336
1744133107841,303,337,252,336
1744133107890,303,337,252,337
1744133107943,303,337,252,336
1744133108020,303,337,252,336
1744133108071,302,337,253,336
1744133108117,303,337,252,336
1744133108163,303,337,252,336
1744133108217,303,338,253,337
1744133108280,303,337,253,336
1744133108318,303,338,253,337
1744133108377,303,337,252,336
1744133108421,303,337,252,336
1744133108482,303,337,253,337
1744133108531,303,338,253,337
1744133108579,303,338,253,337
1744133108634,303,338,253,337
1744133108695,303,337,252,336
1744133108722,303,337,252,336
1744133108771,303,337,252,336
1744133108831,303,338,252,336
1744133108870,303,337,252,336
1744133108919,303,337,252,336
1744133108962,303,337,252,336
1744133109014,303,337,252,336
1744133109055,303,338,253,336
1744133109099,303,337,253,336
1744133109157,303,337,253,336
1744133109200,303,338,253,337
1744133109250,303,338,252,336
1744133109300,303,337,252,336
1744133109353,303,337,252,336
1744133109394,303,338,252,336
1744133109450,303,338,252,336
1744133109500,303,337,253,336
1744133109563,302,338,252,337
1744133109632,303,338,252,337
1744133109667,303,338,252,337
1744133109716,303,338,252,337
1744133109759,303,338,252,337
1744133109800,302,338,252,337
1744133109850,302,338,252,337
1744133109900,303,338,252,337
1744133109953,303,337,252,337
1744133110003,303,337,252,337
1744133110115,302,338,252,337
1744133110186,303,338,252,337
1744133110234,302,338,252,337
1744133110289,303,338,252,336
1744133110349,303,337,252,337
1744133110406,303,337,252,337
1744133110457,303,338,252,337
1744133110499,303,338,252,337
1744133110555,303,338,252,337
1744133110601,303,338,252,337
1744133110652,303,338,252,337
1744133110691,303,338,252,337
1744133110756,303,338,253,337
1744133110805,303,338,252,337
1744133110858,302,338,252,337
1744133110926,303,339,253,338
1744133110963,303,339,252,338
1744133111016,303,339,252,338
1744133111070,303,339,252,338
1744133111112,303,338,252,337
1744133111156,303,338,252,337
1744133111208,302,338,253,337
1744133111252,302,338,253,337
1744133111299,302,338,252,337
1744133111353,302,338,252,337
1744133111401,302,338,252,337
1744133111453,302,339,253,337
1744133111499,303,338,252,337
1744133111563,303,338,252,337
1744133111602,302,338,252,336
1744133111655,302,338,252,337
1744133111710,302,338,252,337
1744133111747,302,338,252,337
1744133111801,302,338,252,337
1744133111832,302,338,252,337
1744133111891,302,338,252,337
1744133111939,302,338,252,337
1744133111989,302,338,252,337
1744133112036,302,338,252,337
1744133112083,302,338,252,337
1744133112142,302,338,251,337
1744133112183,302,338,251,337
1744133112234,302,338,252,337
1744133112292,302,338,252,337
1744133112329,302,338,252,337
1744133112390,301,338,251,337
1744133112433,301,338,251,337
1744133112485,301,338,251,337
1744133112537,301,338,251,337
1744133112579,301,338,251,337
1744133112634,301,338,251,337
1744133112694,301,338,251,338
1744133112736,301,338,251,337
1744133112775,301,338,251,337
1744133112824,301,338,251,337
1744133112871,301,338,251,337
1744133112914,301,338,251,337
1744133112962,301,338,251,337
1744133113030,301,338,251,337
1744133113075,301,338,251,338
1744133113121,301,338,251,338
1744133113171,301,339,251,337
1744133113313,302,339,251,338
1744133113376,302,339,252,338
1744133113432,302,338,252,337
1744133113492,302,338,252,337
1744133113530,302,338,252,338
1744133113579,302,339,251,338
1744133113622,302,338,251,338
1744133113681,302,339,251,338
1744133113738,302,338,251,338
1744133113782,302,338,251,338
1744133113832,302,338,251,338
1744133113883,302,338,252,338
1744133113935,302,338,252,337
1744133113987,302,338,251,337
1744133114035,302,338,252,338
1744133114083,302,338,252,338
1744133114132,302,339,252,337
1744133114179,302,339,251,337
1744133114243,302,338,252,337
1744133114288,302,339,252,338
1744133114339,302,338,251,338
1744133114387,302,338,251,338
1744133114446,302,339,251,338
1744133114482,302,339,251,338
1744133114533,302,339,251,338
1744133114594,301,339,251,338
1744133114650,302,338,251,338
1744133114708,302,338,251,338
1744133114758,302,338,251,337
1744133114805,302,338,251,338
1744133114861,302,339,251,338
1744133114926,301,338,251,338
1744133114963,301,338,251,338
1744133115012,301,338,251,338
1744133115070,301,338,251,338
1744133115116,301,338,251,338
1744133115155,302,338,251,338
1744133115204,301,339,251,338
1744133115251,301,339,251,338
1744133115299,301,339,251,338
1744133115347,301,339,251,338
1744133115394,301,339,251,338
1744133115452,301,339,250,338
1744133115505,301,339,250,338
1744133115554,301,339,250,338
1744133115603,301,338,250,338
1744133115658,301,338,250,338
1744133115718,301,338,250,338
1744133115769,301,339,250,338
1744133115810,301,338,250,337
1744133115865,301,338,250,337
1744133115923,301,339,250,338
1744133115972,301,339,250,338
1744133116026,301,339,250,338
1744133116064,301,339,251,338
1744133116115,301,339,251,338
1744133116162,301,339,251,338
1744133116211,301,339,251,338
1744133116279,301,339,251,338
1744133116344,301,339,251,338
1744133116504,301,339,251,338
1744133116573,301,339,250,338
1744133116628,301,339,250,338
1744133116677,301,339,250,339
1744133116714,301,339,250,339
1744133116771,301,339,250,338
1744133116823,301,339,250,338
1744133116867,301,339,250,338
1744133116921,301,339,250,338
1744133116963,301,339,250,338
1744133117023,301,339,250,338
1744133117070,301,339,251,338
1744133117123,301,339,250,338
1744133117169,301,339,250,338
1744133117219,301,339,250,338
1744133117277,301,339,250,338
1744133117338,300,339,251,338
1744133117379,301,339,251,338
1744133117440,301,339,251,338
1744133117481,301,339,250,338
1744133117539,301,339,250,338
1744133117596,301,339,250,338
1744133117641,301,339,250,338
1744133117687,301,339,250,338
1744133117731,301,339,250,338
1744133117794,301,339,250,338
1744133117853,301,339,251,338
1744133117897,301,339,251,338
1744133117939,301,339,251,338
1744133117986,301,339,250,338
1744133118045,301,339,250,338
1744133118082,301,339,250,338
1744133118131,301,339,250,338
1744133118178,301,339,250,338
1744133118230,300,339,250,339
1744133118307,300,339,250,338
1744133118387,300,339,250,339
1744133118469,300,339,249,339
1744133118527,300,339,249,339
1744133118613,300,339,249,339
1744133118690,300,339,250,338
1744133118767,299,340,249,339
1744133118843,300,340,249,339
1744133118896,300,340,249,339
1744133118955,300,340,250,340
1744133118997,300,340,250,340
1744133119049,300,339,250,338
1744133119103,300,340,250,339
1744133119158,301,339,250,339
1744133119203,301,340,250,339
1744133119254,301,340,250,339
1744133119297,301,340,250,339
1744133119352,301,340,250,339
1744133119400,301,340,250,339
1744133119446,300,339,250,339
1744133119502,301,340,250,339
1744133119643,301,340,250,339
1744133119708,301,340,250,339
1744133119752,301,340,250,339
1744133119789,301,340,250,339
1744133119843,301,340,250,339
1744133119897,300,339,250,339
1744133119966,300,340,250,340
1744133120004,301,340,250,340
1744133120055,301,340,250,340
1744133120095,300,340,249,340
1744133120153,300,340,250,340
1744133120204,301,340,250,339
1744133120248,300,340,250,340
1744133120295,300,340,249,339
1744133120368,300,340,250,340
1744133120428,300,340,249,340
1744133120480,300,340,250,340
1744133120531,300,340,250,340
1744133120586,300,340,249,340
1744133120630,300,340,249,340
1744133120690,299,340,249,340
1744133120725,300,340,249,340
1744133120773,299,340,249,340
1744133120831,299,340,249,340
1744133120880,300,340,249,340
1744133120931,300,340,249,340
1744133120978,299,340,248,340
1744133121029,299,340,248,340
1744133121081,300,341,248,340
1744133121131,300,341,248,340
1744133121176,300,340,249,340
1744133121232,299,340,249,340
