x,y,timestamp
499.83334042173135,499.854239854376,1746456360977
499.0065388468291,498.24731352521513,1746456361156
509.741579148268,492.50155185282676,1746456361338
534.1911358616953,483.61821130873665,1746456361514
577.6395766282141,456.48412798083206,1746456361676
620.9092752070806,427.1161954031948,1746456361867
689.8836382233903,394.409406223624,1746456362041
769.7568024717101,367.98351637577014,1746456362200
776.7428040345651,348.0025918607411,1746456362365
794.752862118495,343.34581688911203,1746456362525
773.2352964381257,341.6575075529002,1746456362683
796.249322014602,345.04458821845736,1746456362848
788.3612639247394,332.229216113642,1746456363011
766.8013659467122,359.79728231238863,1746456363172
770.602449210477,339.6560755840007,1746456363336
835.6985241641039,282.7537238481563,1746456363495
836.9715121727997,312.02261832181284,1746456363655
838.8835819495948,290.51809405596197,1746456363811
845.26625569088,253.28550276319493,1746456363971
813.7966303056868,236.96275150866958,1746456364132
806.6121831239268,215.89822406652698,1746456364295
715.2279689335617,233.67496468720006,1746456364457
693.6997414346823,233.4862202462219,1746456364620
703.8097299111399,209.27865897351333,1746456364784
709.0245435065096,195.9659451291547,1746456364950
706.2928590456798,193.2472191486473,1746456365118
770.2734161058083,194.61718595338579,1746456365273
759.1802386839031,186.75715478011097,1746456365430
725.9110118024877,207.72632268044427,1746456365589
683.4729439345352,227.56129294001641,1746456365747
694.0368205618547,211.90842167971252,1746456365900
701.136931125863,220.89542004126034,1746456366058
