x,y,timestamp
500.0809183161369,499.9314069902946,1746461367238
499.9808597315493,498.59325226372636,1746461367419
496.23932265640155,495.94010423083057,1746461367593
496.33257707684686,482.18154495441837,1746461367754
493.3971712393663,442.8948177741856,1746461367916
538.3466056234844,372.6029657695602,1746461368072
551.8142806943187,312.30322154577203,1746461368235
583.5998638502474,238.79178952995488,1746461368400
628.3387879430746,188.98729466240258,1746461368562
609.48219156673,161.74924911174782,1746461368721
628.1908801165914,139.61073869722995,1746461368879
598.5987759552846,141.18376243299923,1746461369044
574.9423356660317,118.39826507966673,1746461369210
517.1647265572316,187.11254485727136,1746461369386
494.29569247229347,191.53816944051763,1746461369549
502.01825560506046,180.09219532545626,1746461369706
444.0663917105846,186.9981333130609,1746461369869
327.17151244956784,220.65030743647029,1746461370030
259.40154315389736,237.32603637027592,1746461370194
238.99527934236826,262.31119544477605,1746461370356
249.66648453584048,267.87621678057894,1746461370516
153.635863734132,249.8919192438956,1746461370681
239.44718212550345,285.13857483524947,1746461370849
284.73534373330176,247.3662816079894,1746461371018
267.71739398422045,322.05697565148614,1746461371197
