RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1745304306.9490623,510,186,407,189
1745304306.9989092,509,189,406,190
1745304307.0430312,509,190,406,190
1745304307.085468,509,189,405,190
1745304307.1314669,510,188,406,189
1745304307.1799767,510,188,406,189
1745304307.2229772,510,188,405,189
1745304307.2659938,511,188,406,189
1745304307.3095396,511,188,405,189
1745304307.351539,511,189,406,190
1745304307.392409,511,188,406,189
1745304307.4350464,511,188,406,189
1745304307.4817603,511,188,406,189
1745304307.5317607,511,189,406,189
1745304307.5743082,511,188,406,189
1745304307.624401,510,188,406,189
1745304307.68616,511,188,406,189
1745304307.74237,510,188,406,189
1745304307.8003235,511,188,407,189
1745304307.8507905,511,188,406,189
1745304307.8919277,511,188,407,189
1745304307.9341278,512,188,407,189
1745304307.9819546,512,188,407,189
1745304308.0259488,512,188,407,189
1745304308.0735457,513,189,407,189
1745304308.1325536,513,187,408,188
1745304308.1876774,514,188,409,188
1745304308.2295184,514,188,409,189
1745304308.2710068,515,187,409,188
1745304308.3127317,515,187,409,188
1745304308.3548677,515,187,409,188
1745304308.3956387,515,187,408,188
1745304308.4369779,515,187,409,188
1745304308.4867876,515,187,409,188
1745304308.5352135,516,187,409,188
1745304308.5873523,517,187,410,188
1745304308.639245,517,187,410,188
1745304308.6804106,517,187,410,188
1745304308.7264116,517,186,409,187
1745304308.7734177,518,187,410,187
1745304308.8188121,517,187,411,187
1745304308.8659701,521,184,411,185
1745304308.9117339,522,185,413,186
1745304308.9589367,523,185,413,186
1745304309.0046356,523,185,414,186
1745304309.0564,523,185,414,186
1745304309.110067,524,185,414,186
1745304309.1721897,524,185,415,186
1745304309.2319484,527,186,417,186
1745304309.287353,527,185,418,185
1745304309.3293538,529,184,418,185
1745304309.3779213,528,185,419,184
1745304309.429916,529,185,419,184
1745304309.4824116,530,184,420,184
1745304309.529418,531,185,421,184
1745304309.5755136,531,186,421,185
1745304309.6221306,532,185,422,185
1745304309.671175,532,186,422,185
1745304309.7277305,532,186,423,184
1745304309.9581215,533,185,423,185
1745304310.008655,530,186,421,185
1745304310.0794635,529,185,420,185
1745304310.1304686,519,188,412,188
1745304310.178011,516,188,411,189
1745304310.2223804,515,188,411,189
1745304310.272388,515,188,410,189
1745304310.3182333,514,188,410,189
1745304310.385333,515,189,410,189
1745304310.4409354,515,189,410,190
1745304310.4976773,514,188,410,189
1745304310.55068,515,188,411,189
1745304310.5931978,514,189,410,189
1745304310.6413,515,189,410,189
