RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1744190954.2133954,390,196,298,188
1744190954.2459028,388,197,298,188
1744190954.2784662,391,197,296,189
1744190954.3105047,388,197,299,188
1744190954.3442135,390,197,296,189
1744190954.3763473,390,197,295,188
1744190954.407534,389,196,295,188
1744190954.4398282,388,197,295,188
1744190954.4733834,388,196,295,188
1744190954.5055203,388,196,295,187
1744190954.5369527,388,196,294,187
1744190954.5683727,388,196,294,188
1744190954.6006153,386,195,294,187
1744190954.62851,386,195,295,187
1744190954.665529,386,195,293,187
1744190954.6967614,383,194,293,186
1744190954.729224,383,195,293,187
1744190954.762513,382,194,292,186
1744190954.792865,381,195,293,185
1744190954.82399,380,194,292,185
1744190954.857567,378,194,290,184
1744190954.890032,377,193,289,183
1744190954.9254298,376,194,288,184
1744190954.9574046,375,194,287,183
1744190954.9886005,374,193,286,183
1744190955.0181417,372,194,285,183
1744190955.0486724,370,194,284,183
1744190955.0872233,370,193,284,183
1744190955.1228375,370,194,283,183
1744190955.1533146,369,193,283,183
1744190955.1856315,369,192,283,182
1744190955.2227037,368,192,283,182
1744190955.2554224,367,192,282,182
1744190955.2872362,369,192,283,182
1744190955.3202736,368,193,282,184
1744190955.348489,367,193,281,184
1744190955.3869846,366,193,280,183
1744190955.4192376,366,194,279,184
1744190955.4481132,365,193,279,185
1744190955.4861248,366,193,279,185
1744190955.5174277,367,192,279,184
1744190955.5488324,365,193,278,185
1744190955.5833788,365,193,279,184
1744190955.6252522,366,193,279,185
1744190955.65834,365,193,279,185
1744190955.6931262,364,192,279,182
1744190955.7236197,366,192,278,184
1744190955.748856,364,193,278,187
1744190955.7865357,365,195,280,188
1744190955.8165462,365,195,279,188
1744190955.8473094,363,196,278,189
1744190955.8810353,362,194,278,186
1744190955.915434,363,196,276,186
1744190955.9482186,361,197,276,191
1744190955.9824994,358,195,276,186
1744190956.0227866,358,194,273,185
1744190956.048556,359,196,274,186
1744190956.0888515,358,195,273,187
1744190956.1243546,358,195,273,188
1744190956.158473,356,195,272,187
1744190956.1912546,357,195,271,185
1744190956.2233586,356,196,272,187
1744190956.2532508,355,195,271,186
1744190956.290004,357,196,272,188
1744190956.3228552,356,195,273,187
1744190956.348899,345,193,272,187
1744190956.3873718,359,195,273,186
1744190956.422386,360,193,272,183
1744190956.4484417,359,192,272,182
1744190956.4872348,351,193,271,184
1744190956.5211208,358,191,272,182
1744190956.5486162,359,193,271,184
1744190956.5856407,359,193,269,182
1744190956.6187634,348,192,268,183
1744190956.6489859,347,191,267,182
1744190956.681354,346,190,267,181
1744190956.7174134,346,190,266,182
1744190956.7490065,343,189,266,183
1744190956.786241,344,190,266,183
1744190956.8239505,343,189,267,182
1744190956.8643925,345,186,266,179
1744190956.9066584,346,184,266,176
1744190956.9415505,348,181,265,173
1744190956.9872773,349,180,266,171
1744190957.0227153,361,178,265,168
1744190957.0485818,363,178,266,167
1744190957.0937955,364,177,266,167
1744190957.1304672,365,177,266,167
1744190957.1649764,365,177,264,166
1744190957.2024076,365,176,263,167
1744190957.2399006,365,176,263,167
1744190957.276251,365,175,262,167
1744190957.3098629,361,176,262,169
1744190957.3423204,359,177,260,170
1744190957.3810992,345,169,257,165
1744190957.4188356,341,172,256,169
1744190957.4549956,341,174,253,171
1744190957.49312,341,179,255,176
1744190957.5288284,332,177,255,180
1744190957.6345372,330,177,253,178
1744190957.681651,331,178,252,177
1744190957.7184987,330,181,252,180
1744190957.7489796,330,182,251,181
1744190957.7915683,331,178,250,177
1744190957.8328037,330,178,249,177
1744190957.867317,327,179,249,178
1744190957.904335,326,181,248,181
1744190957.9450943,326,184,248,183
1744190957.9846659,330,188,247,184
1744190958.0182655,333,190,246,185
1744190958.0490572,343,190,247,186
1744190958.0908403,342,192,246,187
1744190958.1288288,342,193,245,188
1744190958.1681116,341,194,246,189
1744190958.2027469,340,195,246,189
1744190958.2396069,342,194,246,189
1744190958.2748919,341,196,246,190
1744190958.3085368,341,197,246,191
1744190958.3435106,342,197,247,193
1744190958.376683,341,198,246,194
1744190958.4132075,342,198,246,193
1744190958.4533556,341,197,247,191
1744190958.4893172,342,197,247,192
1744190958.5241723,342,196,247,192
1744190958.54883,342,198,249,195
1744190958.593201,341,200,249,196
1744190958.6362083,341,200,249,196
1744190958.6702874,339,199,248,194
1744190958.7066457,341,197,247,194
1744190958.7439086,340,197,247,193
1744190958.7804341,338,191,246,187
1744190958.8288114,338,188,246,186
1744190958.868572,336,186,245,184
1744190958.9092484,335,185,244,183
1744190958.944917,333,181,245,180
1744190958.9825895,332,175,244,173
1744190959.0201418,332,165,242,164
1744190959.0487444,329,155,239,151
1744190959.088186,329,149,242,150
1744190959.1275344,330,141,243,143
1744190959.1582105,331,133,245,137
1744190959.1960745,331,127,248,131
1744190959.232924,331,121,250,125
1744190959.2667792,333,114,253,119
1744190959.3093107,334,109,255,114
1744190959.348481,333,104,257,110
1744190959.3852053,334,99,258,106
1744190959.4209828,336,97,261,105
1744190959.4536934,336,98,263,106
1744190959.494028,335,99,262,108
1744190959.528537,334,103,263,113
1744190959.566674,335,107,262,117
1744190959.6029012,334,108,263,118
1744190959.6382558,334,107,262,117
1744190959.6728158,332,108,263,117
1744190959.7081652,333,111,264,119
1744190959.7503982,332,120,266,126
1744190959.78869,337,153,275,156
1744190959.8601768,344,145,282,145
1744190959.894629,347,146,286,145
