RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1744147944.691788,336,352,247,341
1744147944.7543693,334,352,247,340
1744147944.8009734,334,352,247,340
1744147944.8739989,335,352,246,340
1744147944.9303563,335,352,246,340
1744147944.9754415,330,354,245,342
1744147945.0211134,330,354,244,341
1744147945.0736244,330,354,244,341
1744147945.123929,330,353,244,341
1744147945.2051811,330,353,244,341
1744147945.2657218,330,355,243,343
1744147945.333139,330,355,244,343
1744147945.376355,330,355,244,343
1744147945.4564111,333,355,247,343
1744147945.5271306,334,355,247,342
1744147945.5897374,334,355,247,342
1744147945.6519756,330,346,250,340
1744147945.694596,347,354,250,342
1744147945.7514985,347,354,250,342
1744147945.798748,348,354,252,342
1744147945.8738844,349,354,252,342
1744147945.9407878,349,354,252,342
1744147945.9923775,348,353,251,341
1744147946.03823,348,353,251,341
1744147946.1014483,346,352,251,341
1744147946.1677313,347,353,250,341
1744147946.22721,347,353,250,341
1744147946.2880406,345,352,249,341
1744147946.3350494,344,351,249,340
1744147946.394214,344,351,249,340
1744147946.4394038,344,351,249,340
1744147946.5118334,344,351,249,340
1744147946.572682,344,351,249,340
1744147946.6371596,345,351,250,340
1744147946.689519,345,351,250,340
1744147946.7572472,345,350,250,339
1744147946.8152974,346,350,250,340
1744147946.8771112,346,350,250,340
1744147946.9227376,344,349,250,338
1744147946.9990118,344,349,250,338
1744147947.0563068,344,349,251,339
1744147947.1063523,346,350,251,339
1744147947.172455,346,350,251,339
1744147947.23327,346,348,252,338
1744147947.2838218,347,349,252,338
1744147947.338144,347,349,252,338
1744147947.400358,348,350,254,339
1744147947.4566233,348,350,254,339
1744147947.5359435,349,349,253,337
1744147947.5989532,348,348,253,337
1744147947.6627684,348,348,253,337
1744147947.7203891,347,349,253,338
1744147947.787826,347,349,252,337
1744147947.848782,347,349,252,337
1744147947.9045696,346,349,252,338
1744147947.97355,346,351,251,340
1744147948.0172853,346,351,251,340
1744147948.0893295,346,349,251,338
1744147948.1555457,345,351,251,340
1744147948.2042077,345,351,251,340
1744147948.2713246,345,351,251,340
1744147948.3062954,345,351,251,340
1744147948.3783708,345,351,250,340
1744147948.4434142,344,351,249,340
1744147948.4888978,344,351,249,340
1744147948.5653014,338,351,249,338
1744147948.6264172,343,351,249,340
1744147948.6897445,343,351,249,340
1744147948.7508616,337,351,249,340
1744147948.7985926,337,352,248,339
1744147948.850753,337,352,248,339
1744147948.9030254,337,352,249,340
1744147948.9614074,337,352,249,340
1744147949.0101404,336,352,248,341
1744147949.069489,335,351,248,340
1744147949.1210196,335,351,248,340
1744147949.1888874,336,351,247,340
1744147949.255283,336,351,247,340
1744147949.295995,335,352,247,341
1744147949.3542223,336,352,248,340
1744147949.4215107,336,352,248,340
1744147949.476799,336,354,248,341
1744147949.5557234,336,353,248,340
1744147949.6189108,336,353,248,340
1744147949.6892807,336,352,248,341
1744147949.7474635,336,353,249,341
1744147949.8080974,336,353,249,341
1744147949.8714018,336,353,248,341
1744147949.9489136,336,352,248,341
1744147950.01487,336,352,248,341
1744147950.0773401,335,353,248,341
1744147950.1412187,335,353,248,341
1744147950.1852162,336,352,248,341
1744147950.2553005,335,353,247,341
1744147950.3055136,335,353,247,341
1744147950.3699515,336,352,247,341
1744147950.4365664,335,352,247,341
1744147950.484054,335,352,247,341
1744147950.5378058,336,352,248,340
1744147950.5918982,336,352,248,341
1744147950.6466675,336,352,248,341
1744147950.6977394,336,351,249,340
1744147950.7576053,336,351,249,340
1744147950.8216681,337,352,248,340
1744147950.8728426,335,353,248,340
1744147950.9050138,335,353,248,340
1744147950.9769967,335,353,247,340
1744147951.0356963,335,353,247,340
1744147951.0993645,334,353,247,341
1744147951.1441362,331,353,248,341
1744147951.2189276,331,353,248,341
1744147951.2813594,335,355,247,342
1744147951.3437848,335,356,247,342
1744147951.4027674,335,356,247,342
1744147951.465568,335,356,247,342
1744147951.520592,335,356,247,342
1744147951.5658379,334,358,246,345
1744147951.6348414,332,359,248,347
1744147951.6992931,332,359,248,347
1744147951.7459893,325,360,247,349
1744147951.8088076,330,362,245,350
1744147951.864762,330,362,245,350
1744147951.922995,334,364,244,349
1744147951.9692383,334,364,244,349
1744147952.020587,333,366,243,351
1744147952.0880108,333,367,243,351
1744147952.1216018,333,367,243,351
1744147952.1928873,334,368,243,353
1744147952.2480278,334,368,243,353
1744147952.3045666,333,369,244,354
1744147952.37216,333,371,243,357
1744147952.439442,333,371,243,357
1744147952.5099792,334,374,244,359
1744147952.5531497,334,375,244,360
1744147952.6223755,334,375,244,360
1744147952.6825871,334,376,245,362
1744147952.754195,334,375,246,361
1744147952.8137887,334,375,246,361
1744147952.870919,334,375,245,361
1744147952.919639,334,375,245,361
1744147952.9812126,334,375,245,361
1744147953.0429153,335,374,245,360
1744147953.0796416,335,374,245,360
1744147953.1365666,334,374,245,359
1744147953.2061172,334,374,245,359
1744147953.248214,333,373,245,359
1744147953.309987,333,372,245,358
1744147953.3716028,333,372,245,358
1744147953.4346957,332,371,245,357
1744147953.4959111,332,372,245,358
1744147953.5552554,332,372,245,358
1744147953.6178913,331,371,244,357
1744147953.6706116,332,371,244,358
1744147953.732477,332,371,244,358
1744147953.7944686,330,370,244,357
1744147953.8540008,330,370,244,357
1744147953.8863761,332,370,244,356
1744147953.9353116,332,369,244,356
1744147953.9614484,332,369,244,356
1744147954.0042012,332,370,244,356
1744147954.0295005,332,370,244,356
1744147954.0819561,329,368,245,356
1744147954.1150396,329,368,245,356
1744147954.1483521,327,362,246,355
1744147954.1829422,327,362,246,355
1744147954.2162228,329,369,245,356
1744147954.2519374,329,369,245,356
1744147954.2868552,333,370,245,356
1744147954.3198686,333,370,245,356
1744147954.355528,328,365,245,354
1744147954.3913822,328,365,245,354
1744147954.4242282,329,366,245,355
1744147954.4692907,329,366,245,355
1744147954.5053403,332,369,245,355
1744147954.5383072,332,369,245,355
1744147954.565317,332,368,244,355
1744147954.609052,332,368,244,355
1744147954.641715,332,369,244,355
1744147954.683202,332,369,244,355
1744147954.7163415,332,369,244,355
1744147954.7515724,332,369,244,355
1744147954.7861705,331,369,243,355
1744147954.8198848,331,369,243,355
1744147954.8562298,332,369,244,355
1744147954.9247699,332,369,243,355
1744147954.958314,332,369,243,355
1744147954.9861708,333,369,244,355
1744147955.0293765,333,369,244,355
1744147955.0688512,333,368,244,354
1744147955.1030667,333,368,244,354
1744147955.1315274,333,368,244,354
1744147955.1733742,333,368,244,354
1744147955.201188,334,368,244,354
1744147955.2427657,334,368,244,354
1744147955.2881286,334,368,244,354
1744147955.3199944,334,368,244,354
1744147955.3571978,334,367,245,354
1744147955.3922136,334,367,245,354
1744147955.4263418,334,368,245,354
1744147955.4535837,334,368,245,354
1744147955.4990683,335,368,245,354
1744147955.527044,335,368,245,354
1744147955.5672815,334,367,245,354
1744147955.5993214,334,367,245,354
1744147955.6391811,334,367,245,354
1744147955.6755924,334,367,245,354
1744147955.7083566,333,367,245,354
1744147955.7356148,333,367,245,354
1744147955.7777321,327,358,247,354
1744147955.8139904,327,358,247,354
1744147955.849905,333,367,246,354
1744147955.91937,333,366,246,353
1744147955.967522,333,366,246,353
1744147956.0025542,334,366,246,352
1744147956.0378926,334,366,246,352
1744147956.0696533,335,366,246,352
1744147956.1041205,335,366,246,352
1744147956.1375911,334,366,248,352
1744147956.1654234,334,366,248,352
1744147956.1996431,345,366,247,353
1744147956.246097,345,366,247,353
1744147956.2818277,344,366,248,353
1744147956.3156788,344,366,248,353
1744147956.3516648,332,356,249,350
1744147956.3857532,332,356,249,350
1744147956.4222567,335,363,250,352
1744147956.4583857,335,363,250,352
1744147956.4872682,331,357,250,351
1744147956.5309749,331,357,250,351
1744147956.5627985,345,366,248,352
1744147956.5898688,345,366,248,352
1744147956.6320252,332,355,250,350
1744147956.6684158,332,355,250,350
1744147956.7015052,345,366,248,353
1744147956.7293491,345,366,248,353
1744147956.7720895,343,365,247,352
1744147956.808527,343,365,247,352
1744147956.8429422,337,365,247,351
1744147956.8767915,337,365,247,351
1744147956.9031298,335,365,247,351
