RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1745248643.1062374,301,275,204,276
1745248643.169939,301,275,205,276
1745248643.22879,301,274,205,275
1745248643.2694135,301,274,204,276
1745248643.3215284,301,275,205,276
1745248643.3857753,301,275,205,276
1745248643.428824,304,278,207,279
1745248643.4864893,304,278,207,280
1745248643.5410397,305,279,208,281
1745248643.5843823,305,279,208,281
1745248643.6274693,306,280,208,281
1745248643.703036,308,281,208,282
1745248643.7693622,307,281,208,282
1745248643.8238513,308,281,208,282
1745248643.869003,308,281,208,282
1745248643.9237754,308,282,207,283
1745248644.0225189,308,283,207,283
1745248644.070109,308,283,206,283
1745248644.132042,307,284,205,285
1745248644.1799126,307,284,204,285
1745248644.2421827,306,285,204,285
1745248644.3047156,306,285,203,286
1745248644.3550212,305,287,202,287
1745248644.4013104,305,287,202,288
1745248644.4524868,305,287,202,288
1745248644.4957082,306,287,201,287
1745248644.537981,305,286,201,287
1745248644.5945098,305,288,201,288
1745248644.6527581,305,289,201,289
1745248644.7004895,306,288,201,289
1745248644.7666886,306,288,202,289
1745248644.8081052,306,290,201,290
1745248644.8530433,305,290,201,291
1745248644.8988266,305,290,201,290
1745248644.9587896,304,289,200,289
1745248645.4243786,303,284,200,285
1745248645.4707355,303,281,203,282
1745248645.5300643,303,280,206,281
1745248645.5725806,304,279,208,280
1745248645.6165454,305,279,209,281
1745248645.6600082,306,279,210,281
1745248645.704124,307,279,211,281
1745248645.7472417,308,279,212,280
1745248645.7946787,309,279,212,281
1745248645.8388345,308,280,212,282
1745248645.8865702,308,280,210,284
1745248645.9270353,307,281,210,284
1745248645.9810417,307,281,210,284
1745248646.0513692,306,280,211,284
1745248646.1183934,309,278,212,281
1745248646.164732,311,278,215,281
1745248646.222456,312,278,217,281
1745248646.2705717,313,279,218,282
1745248646.3175611,317,279,222,283
1745248646.3807955,317,279,223,283
1745248646.424595,318,278,223,282
1745248646.4715607,318,278,222,282
1745248646.5369754,317,279,222,282
1745248646.5775726,317,279,221,283
1745248646.6378121,317,281,221,283
1745248646.7083945,317,281,220,283
1745248646.7541938,317,281,221,283
1745248646.7947643,317,281,220,284
1745248646.847199,316,281,220,284
1745248646.905982,316,281,221,285
1745248646.9502378,317,281,220,284
1745248647.0265892,317,282,222,286
1745248647.0732286,317,282,223,287
1745248647.122776,319,283,224,288
1745248647.1775944,318,283,224,288
1745248647.2302818,318,283,222,288
1745248647.2724082,318,282,223,288
1745248647.3355558,318,283,224,288
1745248647.3913164,319,283,224,288
1745248647.4386308,320,281,225,285
1745248647.4844708,320,280,225,285
1745248647.532791,321,280,226,285
1745248647.5939867,321,281,227,285
1745248647.6384676,322,281,226,285
1745248647.7060223,322,284,228,288
1745248647.7544408,322,284,227,289
1745248647.8147166,323,285,229,289
1745248647.8578367,323,284,229,288
1745248647.9178689,324,284,229,288
1745248647.9803338,325,284,231,288
1745248648.0411944,326,283,230,288
1745248648.0938485,326,284,230,288
1745248648.1365075,325,284,231,288
1745248648.1971076,324,285,228,288
1745248648.2511973,323,285,229,288
1745248648.3019533,323,286,229,288
1745248648.358928,323,286,229,287
1745248648.415094,324,283,231,282
