RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1744132796994,253,305,195,306
1744132797046,253,305,195,306
1744132797090,253,305,194,306
1744132797161,253,305,194,306
1744132797210,252,305,194,306
1744132797267,252,305,194,307
1744132797307,252,305,194,307
1744132797363,252,305,194,306
1744132797418,252,305,194,306
1744132797472,252,305,194,306
1744132797521,252,305,193,306
1744132797564,252,305,193,306
1744132797603,252,305,194,306
1744132797645,252,305,194,307
1744132797681,252,305,194,307
1744132797737,252,305,194,307
1744132797786,251,305,193,306
1744132797824,251,305,193,306
1744132797877,251,305,194,306
1744132797923,252,304,193,306
1744132797962,252,304,193,306
1744132798015,252,304,193,306
1744132798056,252,304,194,306
1744132798093,252,304,194,306
1744132798130,252,304,194,306
1744132798183,252,304,194,306
1744132798219,252,304,194,305
1744132798272,252,304,194,306
1744132798334,252,304,195,306
1744132798370,252,304,195,306
1744132798403,252,304,194,306
1744132798453,252,304,194,306
1744132798503,253,304,195,305
1744132798537,252,304,195,306
1744132798587,252,304,195,306
1744132798624,252,304,194,306
1744132798660,252,304,195,306
1744132798704,253,304,195,305
1744132798762,253,304,195,305
1744132798805,253,304,195,305
1744132798847,253,304,195,305
1744132798881,254,304,195,306
1744132798930,253,304,195,305
1744132798977,253,304,195,305
1744132799024,254,304,196,305
1744132799071,254,304,196,305
1744132799111,254,304,196,305
1744132799161,254,304,196,305
1744132799203,254,304,196,305
1744132799244,254,304,196,305
1744132799282,254,304,196,305
1744132799331,254,304,196,305
1744132799378,254,304,196,305
1744132799416,254,305,197,306
1744132799452,254,305,197,306
1744132799497,254,305,196,306
1744132799543,254,305,196,306
1744132799600,253,305,196,306
1744132799656,253,305,196,306
1744132799691,253,305,196,307
1744132799736,253,305,196,307
1744132799778,253,305,196,307
1744132799837,253,305,196,306
1744132799897,253,305,196,306
1744132799950,253,305,196,306
1744132799995,253,305,195,306
1744132800038,253,305,195,306
1744132800078,253,305,196,307
1744132800112,253,304,196,306
1744132800163,253,304,196,306
1744132800198,254,305,197,307
1744132800259,254,305,197,307
1744132800305,254,305,197,307
1744132800366,254,304,196,306
1744132800415,254,305,197,306
1744132800469,254,305,197,306
1744132800520,253,304,196,305
1744132800569,253,304,196,305
1744132800602,253,304,196,305
1744132800639,253,304,196,305
1744132800674,253,304,196,305
1744132800709,253,304,196,305
1744132800753,253,304,196,305
1744132800788,253,303,196,304
1744132800836,253,303,196,304
1744132800884,253,304,196,304
1744132800921,254,303,196,305
1744132800970,254,303,196,304
1744132801014,256,303,197,303
1744132801079,257,302,197,303
1744132801117,257,302,197,303
1744132801151,258,303,199,303
1744132801199,258,303,199,303
1744132801240,259,303,199,303
1744132801279,260,302,201,302
1744132801329,261,301,203,301
1744132801386,263,301,204,301
1744132801425,263,301,204,301
1744132801473,263,301,204,301
1744132801516,264,300,204,300
1744132801558,264,300,205,300
1744132801588,264,300,205,300
1744132801641,264,301,204,301
1744132801670,264,301,205,301
1744132801716,264,301,205,301
1744132801751,265,301,205,301
1744132801796,266,300,206,300
1744132801837,268,301,208,301
1744132801877,269,301,210,302
1744132801921,272,300,214,301
1744132801963,272,300,214,301
1744132802009,274,296,216,297
1744132802043,276,295,219,296
1744132802086,276,295,219,296
1744132802129,280,295,222,295
1744132802171,280,295,222,295
1744132802211,284,294,227,294
1744132802244,288,292,232,293
1744132802307,293,291,236,291
1744132802348,297,290,241,290
1744132802396,299,289,243,289
1744132802444,299,289,243,289
1744132802499,301,289,245,289
1744132802542,305,289,247,289
1744132802593,305,289,247,289
1744132802625,307,290,250,291
1744132802674,308,291,251,291
1744132802720,309,291,251,291
1744132802767,304,292,248,291
1744132802818,296,293,243,292
1744132802867,296,293,243,292
1744132803052,260,294,219,287
1744132805029,269,286,222,283
1744132805072,273,286,225,285
1744132805102,278,286,228,286
1744132805150,278,286,228,286
1744132805199,282,288,231,288
1744132805249,288,290,234,290
1744132805304,293,291,236,291
1744132805347,297,291,239,291
1744132805388,297,291,239,291
1744132805437,303,292,242,292
1744132805484,310,293,248,294
1744132805531,320,293,254,295
1744132805578,322,293,256,295
1744132805632,323,294,257,296
1744132805666,323,294,257,296
1744132805718,324,295,257,296
1744132805767,324,296,258,297
1744132805814,324,296,258,297
1744132805862,324,297,257,298
1744132805918,323,298,257,298
1744132805964,322,298,255,298
1744132806013,320,299,255,299
1744132806061,319,298,254,298
1744132806120,319,298,254,298
1744132806164,319,298,254,298
1744132806213,319,298,254,298
1744132806268,318,298,254,298
1744132806330,318,298,253,298
1744132806369,318,299,253,298
1744132806414,318,299,253,298
1744132806464,318,299,253,298
1744132806524,317,298,252,298
1744132806579,317,299,252,298
1744132806621,317,299,251,298
1744132806669,317,299,251,299
1744132806719,317,299,251,299
1744132806768,317,299,251,298
1744132806815,316,299,251,299
1744132806861,316,299,250,299
1744132806914,316,299,251,299
1744132806957,316,299,251,299
1744132807005,316,299,251,298
1744132807053,316,299,251,298
1744132807108,315,299,250,299
1744132807149,315,299,250,299
1744132807205,315,300,250,299
