x,y,timestamp
500.10021010011656,499.8188715837466,1746105329255
501.320556233743,497.638785457485,1746105329285
505.2421870067799,489.71125286844966,1746105329307
514.2164535594079,471.142982033537,1746105329334
532.2250374857975,437.87343067878805,1746105329359
557.1303847073331,389.93480451483657,1746105329382
589.1967453605295,332.0121635948987,1746105329403
619.9689978911647,272.90294238013263,1746105329424
647.8729469765261,219.0736761609304,1746105329445
676.1001754298538,171.46700784280787,1746105329468
691.5049305360571,142.9669182220784,1746105329495
701.9859003054912,123.58782113816996,1746105329522
735.3699828108664,89.63346852178334,1746105329551
742.6794039139446,78.37157474681183,1746105329577
739.5288668234783,74.59443538085061,1746105329596
745.5020151639176,71.85999832510234,1746105329616
742.6129906571804,73.15792951196028,1746105329638
734.638601085682,79.30315942238565,1746105329662
731.8990984712323,86.59892038566048,1746105329688
721.5442850466382,93.92378364207144,1746105329708
703.57249071847,100.61309919652166,1746105329728
701.7329994850301,109.00888693061276,1746105329748
692.7358118070399,116.75312050993925,1746105329767
684.9771729973271,123.92506057597741,1746105329791
675.8365871668541,129.34120471514288,1746105329811
671.3878969637447,134.64858175450738,1746105329831
666.0975776069299,138.95827264981668,1746105329853
669.009440659162,144.14917963227555,1746105329871
675.7984488733766,149.49940147054966,1746105329890
677.6647130159758,152.81992890588293,1746105329910
681.2051159402025,158.27625740428533,1746105329933
687.6888911443283,162.65058247716732,1746105329953
686.135415618948,165.0056568194052,1746105329973
684.7056869288923,166.66486891325133,1746105329993
694.1544772545352,180.56879927513344,1746105330017
706.603848369997,183.96618104143622,1746105330037
715.1675760322312,199.4427926353891,1746105330055
722.077838621478,212.11952765175286,1746105330075
711.0051857133118,204.95328678272898,1746105330096
713.1255763122442,204.62216072779984,1746105330119
718.3501366948187,207.72399699513633,1746105330140
718.8860250367106,196.81993936501758,1746105330165
721.9273293997994,192.34671378695796,1746105330191
719.5437672113266,189.40361930715852,1746105330216
717.50897614399,187.6036446248352,1746105330237
716.3754069237709,183.9588735992324,1746105330259
717.6413717919711,192.65097933339038,1746105330291
714.4422332877058,191.21375995825187,1746105330311
724.7132038771217,206.39517176245735,1746105330332
728.9677475991541,208.52137401301488,1746105330356
730.8171188290128,209.50734324652583,1746105330384
741.5722259620047,222.3577580093034,1746105330410
743.6757033904573,233.0196991986287,1746105330435
751.102673029016,237.9792098065815,1746105330461
761.5066876347477,245.82913237362501,1746105330491
765.7330235794753,247.49901121177388,1746105330518
760.6710106512145,239.15530326351555,1746105330546
759.7630649072308,240.94493077981767,1746105330574
754.1771945812258,238.48527810068146,1746105330601
744.6853571314961,226.67313097648736,1746105330628
735.6764447136919,216.9432460489015,1746105330656
725.4301306841827,206.5982692625139,1746105330688
717.6824817986636,197.4624841558471,1746105330714
730.2646206176661,209.65516427153733,1746105330744
737.9638789660918,218.36004929870236,1746105330768
748.0427445736603,228.01554172045024,1746105330797
748.4782214092896,231.2406156507677,1746105330825
753.8963982763976,234.33368521531625,1746105330851
758.5982932455302,240.9501479012549,1746105330882
764.1950168188607,244.52003018675072,1746105330909
770.507985088452,249.87113365754567,1746105330937
782.3497698125547,260.38568687051554,1746105330964
792.029581770236,268.9653156448487,1746105330991
803.9172472654344,273.1591377419159,1746105331018
814.7189068098339,280.8808281843511,1746105331045
820.8246878784862,284.80952551579503,1746105331072
820.2476702990433,283.89482456283804,1746105331100
812.4363978102499,283.0733810942692,1746105331128
807.5017205783278,279.81534559386887,1746105331156
804.9813076633736,277.18776372495284,1746105331185
811.9885811539282,286.201546326093,1746105331213
817.7568171622505,293.68049394654116,1746105331241
822.3816906166118,299.7298984783739,1746105331268
816.8187250399171,292.96818756551784,1746105331294
813.8218995432065,290.45262887635715,1746105331321
800.3308310591533,273.6673319729041,1746105331349
796.8461769054021,268.91132569536023,1746105331376
796.3577507604991,263.1751888128479,1746105331397
793.2228885881111,254.0480918771338,1746105331418
781.2793503331383,238.17961325507392,1746105331444
771.3013160936439,225.0700527610898,1746105331464
763.4315498860648,216.08726179708108,1746105331484
757.7315263391449,209.95979298983087,1746105331504
752.8916375628312,204.731725547986,1746105331527
